player_id,full_name,position,GW,gameweek_points,value,avg_score_last_1,avg_score_last_3,ict_last_1,ict_last_3,avg_mins_last_1,avg_mins_last_3,xG_last_1,xG_last_3,xA_last_1,xA_last_3,clean_sheets_last_1,clean_sheets_last_3,fixture_difficulty,season
6,Thomas Partey,MID,22,1,47,2.0,2.6666666666666665,3.9,13.8,90.0,90.0,0.1137,0.3004,0.03668,0.1226999999999999,0.0,2.0,2,2022-23
6,Thomas Partey,MID,23,3,47,1.0,2.0,2.7,11.1,58.0,79.33333333333333,0.03,0.2588999999999999,0.03,0.1187899999999999,0.0,1.0,3,2022-23
6,Thomas Partey,MID,25,1,47,0.0,1.0,0.0,10.500000000000002,0.0,30.0,0.0,0.04,0.0,0.14,0.0,0.0,3,2022-23
6,Thomas Partey,MID,25,1,47,1.0,0.3333333333333333,0.1,0.1000000000000017,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2022-23
6,Thomas Partey,MID,26,8,47,1.0,0.6666666666666666,3.0,3.100000000000002,45.0,17.0,0.0,0.0,0.41,0.41,0.0,0.0,2,2022-23
6,Thomas Partey,MID,27,3,47,8.0,3.3333333333333335,10.6,13.7,90.0,47.0,0.6,0.6,0.11,0.52,0.0,0.0,2,2022-23
6,Thomas Partey,MID,28,2,47,3.0,4.0,3.1,16.700000000000003,90.0,75.0,0.0,0.6,0.02,0.5399999999999999,1.0,1.0,2,2022-23
6,Thomas Partey,MID,29,1,47,2.0,4.333333333333333,3.7,17.400000000000002,90.0,90.0,0.14,0.74,0.17,0.3,0.0,1.0,2,2022-23
6,Thomas Partey,MID,30,2,47,1.0,2.0,1.0,7.800000000000003,59.0,79.66666666666667,0.0,0.14,0.01,0.2,0.0,1.0,4,2022-23
6,Thomas Partey,MID,31,1,47,2.0,1.6666666666666667,2.1,6.8000000000000025,90.0,79.66666666666667,0.0,0.14,0.0,0.18,0.0,0.0,3,2022-23
6,Thomas Partey,MID,32,2,47,1.0,1.3333333333333333,0.6,3.700000000000002,66.0,71.66666666666667,0.0,0.0,0.05,0.06,0.0,0.0,2,2022-23
6,Thomas Partey,MID,33,1,47,2.0,1.6666666666666667,5.4,8.100000000000001,90.0,82.0,0.12,0.12,0.22,0.27,0.0,0.0,5,2022-23
6,Thomas Partey,MID,34,1,47,1.0,1.3333333333333333,2.5,8.500000000000004,90.0,82.0,0.1,0.22,0.03,0.3,0.0,0.0,3,2022-23
6,Thomas Partey,MID,35,1,47,1.0,1.3333333333333333,0.0,7.900000000000002,4.0,61.333333333333336,0.0,0.22,0.0,0.25,0.0,0.0,4,2022-23
6,Thomas Partey,MID,36,0,47,1.0,1.0,0.1,2.600000000000002,10.0,34.666666666666664,0.0,0.1,0.0,0.0299999999999999,0.0,0.0,3,2022-23
6,Thomas Partey,MID,37,2,47,0.0,0.6666666666666666,2.9,3.0000000000000018,30.0,14.666666666666666,0.0,0.0,0.06,0.0599999999999999,0.0,0.0,2,2022-23
