first_name,second_name,element_type,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,bonus,influence,creativity,threat,now_cost,ict_index,id,value,full_name
Adama,Traoré,MID,28,556,1,2,2,7,2,0,3,129.8,154.7,167.0,51,45.2,239,5.490196078431372,Adama Traoré
Andreas,Hoelgebaum Pereira,MID,23,544,1,1,2,6,2,0,1,94.0,332.0,83.0,53,50.9,240,4.339622641509433,Andreas Hoelgebaum Pereira
Calvin,Bassey,DEF,15,630,0,0,1,8,2,0,0,121.4,7.5,15.0,45,14.3,241,3.3333333333333335,Calvin Bassey
Steven,Benda,GK,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,242,0.0,Steven Benda
Tom,Cairney,MID,3,92,0,0,0,3,2,0,0,19.2,33.8,4.0,48,5.9,243,0.6249999999999999,Tom Cairney
Timothy,Castagne,DEF,1,13,0,0,0,1,0,0,0,8.8,0.7,0.0,42,1.0,244,0.23809523809523808,Timothy Castagne
Issa,Diop,DEF,8,278,0,0,0,3,0,0,0,56.8,12.3,13.0,45,8.2,245,1.7777777777777777,Issa Diop
Luke,Harris,MID,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,246,0.0,Luke Harris
Alex,Iwobi,MID,27,587,1,1,2,6,0,0,3,140.8,193.1,145.0,55,47.8,247,4.909090909090909,Alex Iwobi
Bernd,Leno,GK,20,630,0,0,1,8,2,0,0,164.0,0.0,0.0,50,16.4,248,4.0,Bernd Leno
Saša,Lukić,MID,11,548,0,0,2,6,4,0,0,65.2,61.5,2.0,49,12.9,249,2.2448979591836733,Saša Lukić
Kevin,Mbabu,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,40,0.0,250,0.0,Kevin Mbabu
Rodrigo,Muniz Carvalho,FWD,18,287,1,1,1,4,0,0,1,70.2,53.0,160.0,58,28.3,251,3.1034482758620685,Rodrigo Muniz Carvalho
Raúl,Jiménez,FWD,32,336,3,1,2,4,0,0,6,140.0,64.8,206.0,56,41.3,252,5.7142857142857135,Raúl Jiménez
Tim,Ream,DEF,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45,0.0,253,0.0,Tim Ream
Harrison,Reed,MID,4,42,0,0,0,1,2,0,0,8.6,16.5,6.0,48,3.1,254,0.8333333333333333,Harrison Reed
Antonee,Robinson,DEF,25,630,0,2,1,8,1,0,3,177.4,115.3,21.0,47,31.5,255,5.319148936170213,Antonee Robinson
Jay,Stansfield,FWD,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,50,0.0,256,0.2,Jay Stansfield
Kenny,Tete,DEF,15,616,0,0,1,7,2,0,0,85.4,39.8,72.0,45,19.8,257,3.3333333333333335,Kenny Tete
