element,name,position,GW,total_points,value,minutes,expected_goals,expected_assists,expected_goals_conceded,goals_scored,assists,goals_conceded,clean_sheets,ict_index,fixture,was_home,fixture_difficulty
328,Chiedozie Ogbene,FWD,1,1,50,14,0.0,0.0,1.76,0,0,2,0,0.0,4,False,3
295,Harvey Elliott,MID,1,1,50,13,0.0,0.01,0.14,0,0,0,0,2.2,9,False,3
576,Jack Robinson,DEF,1,2,45,79,0.0,0.0,1.8,0,0,1,0,0.0,7,True,2
12,Gabriel Martinelli Silva,MID,1,5,80,85,0.0,0.22,1.16,0,1,1,0,7.6,2,True,2
183,Wout Weghorst,FWD,1,0,55,0,0.0,0.0,0.0,0,0,0,0,0.0,1,True,5
44,Jhon Durán,FWD,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,6,False,4
345,Oscar Bobb,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,1,False,2
523,Michail Antonio,FWD,1,1,60,77,0.0,0.01,0.43,0,0,0,1,1.1,3,False,2
214,Malang Sarr,DEF,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,9,True,4
589,Ângelo Gabriel Borges Damaceno,MID,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,9,True,4
639,Micky van de Ven,DEF,1,1,45,90,0.04,0.03,2.02,0,0,2,0,0.0,8,False,2
399,Shola Shoretire,FWD,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,10,True,2
391,Lisandro Martínez,DEF,1,0,50,45,0.0,0.02,0.24,0,0,0,0,0.9,10,True,2
456,Alex Mighten,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,2,False,5
108,Bryan Mbeumo,MID,1,7,65,90,1.35,0.03,1.26,1,0,2,0,8.3,8,True,3
16,Nicolas Pépé,MID,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,2,True,2
304,Alexis Mac Allister,MID,1,1,60,90,0.0,0.22,1.28,0,0,1,0,2.7,9,False,3
618,Omari Kellyman,MID,1,0,45,0,0.0,0.0,0.0,0,0,0,0,0.0,6,False,4
58,Youri Tielemans,MID,1,1,60,45,0.0,0.09,2.2,0,0,3,0,1.9,6,False,4
446,Remo Freuler,MID,1,0,50,0,0.0,0.0,0.0,0,0,0,0,0.0,2,False,5
89,Illia Zabarnyi,DEF,1,2,45,90,0.0,0.01,1.07,0,0,1,0,1.7,3,True,2
